id	tweet	full_name	name	place_type	country	country_code
56	1053087484614246400	Pantin, France	Pantin	city	France	FR
57	1053087691888320512	Brasília, Brasil	Brasília	city	Brasil	BR
58	1053087728265502721	Nova Iguaçu, Brasil	Nova Iguaçu	city	Brasil	BR
59	1053087800155881472	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
60	1053088058973872130	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
61	1053088098769362944	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
62	1053088448008077312	Valinhos, Brasil	Valinhos	city	Brasil	BR
63	1053088495449882627	Recife, Brazil	Recife	city	Brazil	BR
64	1053088531160203270	Apodi, Brasil	Apodi	city	Brasil	BR
65	1053088545144037376	Ipanema, Brasil	Ipanema	city	Brazil	BR
66	1053088612655489024	Cabo de Santo Agostinho, Brasil	Cabo de Santo Agostinho	city	Brasil	BR
67	1053088820084830209	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
68	1053089095512133638	Cabo de Santo Agostinho, Brasil	Cabo de Santo Agostinho	city	Brasil	BR
69	1053089107449143296	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
70	1053089142756782085	Cabo de Santo Agostinho, Brasil	Cabo de Santo Agostinho	city	Brasil	BR
71	1053089267235348480	Mossoró, Brasil	Mossoró	city	Brasil	BR
72	1053089387838357504	São Paulo, Brasil	São Paulo	city	Brasil	BR
73	1053089429886287877	Sao Paulo, Brazil	Sao Paulo	city	Brazil	BR
74	1053089466443857920	Cabo de Santo Agostinho, Brasil	Cabo de Santo Agostinho	city	Brasil	BR
75	1053089717682667520	Balneário Camboriú, Brasil	Balneário Camboriú	city	Brasil	BR
76	1053089717867159552	Juiz de Fora, Brasil	Juiz de Fora	city	Brasil	BR
77	1053089902026461184	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
78	1053090002941419522	Santo André, Brasil	Santo André	city	Brasil	BR
79	1053090063410704385	Pantin, France	Pantin	city	France	FR
80	1053090184852656128	Guaratinguetá, Brasil	Guaratinguetá	city	Brasil	BR
81	1053090303090049025	São Paulo, Brasil	São Paulo	city	Brasil	BR
82	1053090344756305921	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
83	1053090720825925632	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
84	1053090794658283520	Cabo de Santo Agostinho, Brasil	Cabo de Santo Agostinho	city	Brasil	BR
85	1053091181532454912	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
86	1053091221063774210	Campinas, Brasil	Campinas	city	Brasil	BR
87	1053091249220128768	São Paulo, Brasil	São Paulo	city	Brasil	BR
88	1053091354757206016	Campos Sales, Brasil	Campos Sales	city	Brasil	BR
89	1053091456037146624	Capela, Brasil	Capela	city	Brazil	BR
90	1053091837525790720	São Paulo, Brasil	São Paulo	city	Brasil	BR
91	1053092119114629121	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
92	1053092158461407234	São Paulo, Brasil	São Paulo	city	Brasil	BR
93	1053092234046906371	São Paulo, Brasil	São Paulo	city	Brasil	BR
94	1053092456202428416	São Gonçalo do Amarante, Brasil	São Gonçalo do Amarante	city	Brasil	BR
95	1053092690341060608	Feira de Santana, Brasil	Feira de Santana	city	Brazil	BR
96	1053093187848417280	Ribeirão das Neves, Brasil	Ribeirão das Neves	city	Brasil	BR
97	1053093402080878592	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
98	1053093590036037642	Porto Alegre, Brasil	Porto Alegre	city	Brasil	BR
99	1053093706398683139	Niterói, Brasil	Niterói	city	Brasil	BR
100	1053093812921352192	Porto Alegre, Brasil	Porto Alegre	city	Brasil	BR
101	1053093816180318208	Ananindeua, Brasil	Ananindeua	city	Brasil	BR
102	1053094081298161664	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
103	1053094170536148992	Guarulhos, Brasil	Guarulhos	city	Brasil	BR
104	1053094379857080320	Teresina, Brasil	Teresina	city	Brasil	BR
105	1053094410748133376	São Paulo, Brasil	São Paulo	city	Brasil	BR
106	1053094417257631746	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
107	1053094447217631233	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
108	1053094540637278214	Teresópolis, Brasil	Teresópolis	city	Brasil	BR
109	1053094649190146048	João Pessoa, Brasil	João Pessoa	city	Brasil	BR
110	1053094743838736384	São Paulo, Brasil	São Paulo	city	Brasil	BR
111	1053094940874555393	São Paulo, Brasil	São Paulo	city	Brasil	BR
112	1053094969597149184	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
113	1053095097204645889	Recife, Brasil	Recife	city	Brasil	BR
114	1053095309092552705	Carlos Chagas, Brasil	Carlos Chagas	city	Brasil	BR
115	1053095464281825287	São Paulo, Brasil	São Paulo	city	Brasil	BR
116	1053095477401530368	Toronto, Ontario	Toronto	city	Canada	CA
117	1053095637904965633	Rio de Janeiro, Brazil	Rio de Janeiro	city	Brazil	BR
118	1053095644968243200	Toronto, Ontario	Toronto	city	Canada	CA
119	1053095662655627264	Parnamirim, Brasil	Parnamirim	city	Brasil	BR
120	1053095675355979782	Registro, Brasil	Registro	city	Brasil	BR
121	1053095895540133888	Toronto, Ontario	Toronto	city	Canada	CA
122	1053096023227355136	Caicó, Brasil	Caicó	city	Brasil	BR
123	1053096205855744000	São Luís, Brasil	São Luís	city	Brasil	BR
124	1053096352597639168	Ponta Grossa, Brasil	Ponta Grossa	city	Brasil	BR
125	1053096510299222016	Campinas, Brasil	Campinas	city	Brasil	BR
126	1053096777233113090	Teófilo Otoni, Brasil	Teófilo Otoni	city	Brasil	BR
127	1053096813257986054	Jundiaí, Brasil	Jundiaí	city	Brasil	BR
128	1053096902416388097	São Paulo, Brasil	São Paulo	city	Brasil	BR
129	1053096994267369472	Ipatinga, Brasil	Ipatinga	city	Brasil	BR
130	1053097202057404416	Santo André, Brasil	Santo André	city	Brazil	BR
131	1053097205207306240	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
132	1053097287386308609	Jundiaí, Brasil	Jundiaí	city	Brasil	BR
133	1053097399181283328	Sao Paulo, Brazil	Sao Paulo	admin	Brazil	BR
134	1053097471902146560	Carapicuíba, Brasil	Carapicuíba	city	Brasil	BR
135	1053097548167163905	Várzea Grande, Brasil	Várzea Grande	city	Brasil	BR
136	1053097876019142656	Santo André, Brasil	Santo André	city	Brazil	BR
137	1053097900975316992	Sao Paulo, Brazil	Sao Paulo	city	Brazil	BR
138	1053097912476094464	Recife, Brasil	Recife	city	Brasil	BR
139	1053098086116085760	Porto Alegre, Brasil	Porto Alegre	city	Brasil	BR
140	1053098102230581249	São José dos Campos, Brasil	São José dos Campos	city	Brasil	BR
141	1053098725168611329	Barretos, Brasil	Barretos	city	Brasil	BR
142	1053099206913728512	São Paulo, Brasil	São Paulo	city	Brasil	BR
143	1053099228061417473	Pedra, Brasil	Pedra	city	Brasil	BR
144	1053099507481825286	Nova Iguaçu, Brasil	Nova Iguaçu	city	Brasil	BR
145	1053099689514545152	Salvador, Brasil	Salvador	city	Brasil	BR
146	1053099857404141568	São Paulo, Brasil	São Paulo	city	Brasil	BR
147	1053099996784947200	Capela, Brasil	Capela	city	Brazil	BR
148	1053100109406355456	Pelotas, Brasil	Pelotas	city	Brazil	BR
149	1053100362805268480	Joinville, Brasil	Joinville	city	Brasil	BR
150	1053100758177140736	Maringá, Brasil	Maringá	city	Brasil	BR
151	1053100822081556480	Florianópolis, Brasil	Florianópolis	city	Brasil	BR
152	1053101147718856705	Guarulhos, Brasil	Guarulhos	city	Brasil	BR
153	1053101201506607105	Porto Alegre, Brasil	Porto Alegre	city	Brasil	BR
154	1053101402115989504	Manaus, Brasil	Manaus	city	Brasil	BR
155	1053101420784873472	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
156	1053101450329513984	São Paulo, Brasil	São Paulo	city	Brasil	BR
157	1053101660879417344	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
158	1053101998210465793	Campinas, Brasil	Campinas	city	Brazil	BR
159	1053102221091655680	Capela, Brasil	Capela	city	Brazil	BR
160	1053102272211763200	Porto Alegre, Brasil	Porto Alegre	city	Brasil	BR
161	1053102292700987393	Campinas, Brasil	Campinas	city	Brazil	BR
162	1053102387043463169	Porto Alegre, Brasil	Porto Alegre	city	Brasil	BR
163	1053102450054520832	Montes Claros, Brasil	Montes Claros	city	Brasil	BR
164	1053102497794007042	Campinas, Brasil	Campinas	city	Brazil	BR
165	1053103254148710401	San Leopoldo, Brasil	San Leopoldo	city	Brasil	BR
166	1053103303192666112	São Paulo, Brasil	São Paulo	city	Brasil	BR
167	1053103334788399105	Recife, Brazil	Recife	city	Brazil	BR
168	1053103367277428737	Rio Grande, Brasil	Rio Grande	city	Brasil	BR
169	1053103765920854016	Porto Alegre, Brasil	Porto Alegre	city	Brasil	BR
170	1053103947282571264	Alcobaça, Brasil	Alcobaça	city	Brasil	BR
171	1053104125855051776	Tremembé, Brasil	Tremembé	city	Brasil	BR
172	1053104191382736896	Sao Paulo, Brazil	Sao Paulo	city	Brazil	BR
173	1053104259250745345	Curitiba, Brazil	Curitiba	city	Brazil	BR
174	1053104319732596736	Juiz de Fora, Brasil	Juiz de Fora	city	Brasil	BR
175	1053104320273674245	Atibaia, Brasil	Atibaia	city	Brasil	BR
176	1053104426091769857	Rio Grande, Brasil	Rio Grande	city	Brasil	BR
177	1053104516286033920	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
178	1053104572263288832	Brazil	Brazil	country	Brazil	BR
179	1053104755667546113	Limeira, Brasil	Limeira	city	Brasil	BR
180	1053104777683484672	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
181	1053105050577453056	São Luís, Brasil	São Luís	city	Brasil	BR
182	1053105080667385857	Sao Paulo, Brazil	Sao Paulo	city	Brazil	BR
183	1053105404698214400	São Paulo, Brasil	São Paulo	city	Brasil	BR
184	1053105497459642374	Parnamirim, Brasil	Parnamirim	city	Brasil	BR
185	1053105501574234117	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
186	1053105591068123136	Salvador, Brasil	Salvador	city	Brasil	BR
187	1053105665856671746	McKinney, TX	McKinney	city	United States	US
188	1053105788842074119	Goiânia, Brazil	Goiânia	city	Brazil	BR
189	1053105960733028353	Goiânia, Brazil	Goiânia	city	Brazil	BR
190	1053106026097065985	Franca, Brasil	Franca	city	Brazil	BR
191	1053106470458478593	São Bernardo do Campo, Brasil	São Bernardo do Campo	city	Brasil	BR
192	1053106635995078656	Brasília, Brasil	Brasília	city	Brasil	BR
193	1053106645805527041	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
194	1053106685336842249	São Paulo, Brasil	São Paulo	city	Brasil	BR
195	1053106968611770369	Galáxia	Galáxia	poi	Brasil	BR
196	1053106994578710528	Brasília, Brasil	Brasília	city	Brasil	BR
