id	text	tweet
617	MarketeirosDoJair	1053079004616552449
618	MarketeirosDoJair	1053079029681741824
619	G1	1053079070110633984
620	G1Rio	1053079070110633984
621	G1	1053079141627633665
622	Eleições2018	1053079141627633665
623	G1	1053079149827493888
624	G1Ceará	1053079149827493888
625	FolhaPutinhaDoPT	1053079163056373761
626	CensuraPetista	1053079163056373761
627	G1	1053079170480291845
628	Eleições2018	1053079170480291845
629	MarketeirosDoJair	1053079177086337024
630	Brumar	1053079202008875008
631	Caixa2doBolsonaro	1053079227153682432
632	G1	1053079241108213760
633	G1Rio	1053079241108213760
634	MarketeirosDoJair	1053079268236976129
635	MarketeirosDoJair	1053079267314147329
636	CensuraNão	1053079278001250309
637	EuPosteiDeGraça	1053079312226811905
638	FolhaMarmitaDoPT	1053079315477422081
639	folhafakenews	1053079315477422081
640	G1	1053079336348250113
641	Eleições2018	1053079336348250113
642	Brumar	1053079337166139393
643	Caixa2doBolsonaro	1053079340857114624
644	caixa2doBolsonaro	1053079340857114624
645	G1	1053079345831514112
646	G1Rio	1053079345831514112
647	G1	1053079355360985088
648	G1Rio	1053079355360985088
649	MarketeirosDoJair	1053079359228129280
650	G1	1053079396007976961
651	Eleições2018	1053079396007976961
652	Folha	1053079399766089728
653	Datafolha	1053079399766089728
654	Eleições2018	1053079399766089728
655	marketeirosdojair	1053079408502804481
656	CadeAProva	1053079444150214657
657	FakeNewsMedia	1053079456984821760
658	MarketeirosDoJair	1053079483060752384
659	FolhaPutinhaDoPT	1053079483060752384
660	G1	1053079493844316160
661	Caixa2doBolsonaro	1053079498609098752
662	marketeirosdojair	1053079531429527554
663	600milhões	1053079540317204480
664	Eleições2018	1053079563054530560
665	G1	1053079563054530560
666	G1	1053079580175749121
667	ninguemseimporta	1053079620935958533
668	CadaUma	1053079643845206016
669	MarketeirosDoJair	1053079695842045952
670	G1	1053079763735248896
671	brumar	1053079790767534082
672	SomosTodosBolsonaro17	1053079794961801216
673	ProcessemfolhaSP	1053079900561858560
674	DoriaNao	1053079924809052165
675	Bolsolao	1053079928982458368
676	caixa2deBolsonaro	1053079928982458368
677	G1	1053079931708760064
678	G1	1053079939082272768
679	caixa2dobolsonaro	1053079952424402944
680	CadêaProva	1053079953712001024
681	FolhaFakeNews	1053079953712001024
682	folha	1053079984271736832
683	Caixa2doHaddad	1053079987010654208
684	PT	1053079990055641088
685	Caixa2doBolsonaro	1053080003443859456
686	Bolsolao	1053080003443859456
687	LavaZap	1053080003443859456
688	G1	1053080021068341248
689	Brumar	1053080038642511873
690	B17	1053080039124811776
691	Brumar	1053080060649975809
692	G1	1053080085471903745
693	Eleições2018	1053080085471903745
694	Brumar	1053080090949701640
695	Caixa2doBolsonaro	1053080095252975616
696	LavaZap	1053080095252975616
697	Bolsolao	1053080095252975616
698	caixa2dobolsonaro	1053080108431491073
699	MarketeirosDoJair	1053080110600019968
700	MarqueteirosDoJair	1053080110600019968
701	FaçoCampanhaDeGraçaProMito	1053080110600019968
702	Caixa2doBolsonaro	1053080116216111105
703	caixa2dobolsonaro	1053080124969701376
704	G1	1053080154979885057
705	G1Ceará	1053080154979885057
706	ptnuncamais	1053080198898425856
707	Eleições2018	1053080231534362624
708	bolsolao	1053080282482569216
709	Caixa2doBolsonaro	1053080282482569216
710	FolhaFakeNews	1053080296155942914
711	G1	1053080298726932481
712	Eleições2018	1053080298726932481
713	EleSim	1053080326984159234
714	G1	1053080332583534592
715	EuVimDeGraça	1053080338858156033
716	EuToBancando	1053080338858156033
717	EuSouRoBô	1053080338858156033
718	EuSouEmpresarioDoBolsonaro	1053080338858156033
719	EuFaçoCampanhaDeGraça	1053080338858156033
720	MarketeirosDoJair	1053080340930146305
721	G1	1053080378209116160
722	Eleições2018	1053080378209116160
723	MarketeirosDoJair	1053080383292628992
724	G1	1053080392826261504
725	G1Ceará	1053080392826261504
726	Brumar	1053080470899122176
727	folhaputinhadopt	1053080526263906304
728	MarketeirosDoJair	1053080536514785601
729	Caixa2doBolsonaro	1053080565900029953
730	bolsolao	1053080565900029953
731	MarketeirosDoJair	1053080573386874880
732	fakenews	1053080580613722113
733	fakenews	1053080580613722113
734	fakenews	1053080580613722113
735	caixa2dobolsonaro	1053080631721295872
