id	tweet	id_user	name	screen_name
18711	1053159031408394240	14594813	Folha de S.Paulo	folha
18712	1053159034960912384	14594813	Folha de S.Paulo	folha
18713	1053159046927265792	14594813	Folha de S.Paulo	folha
18714	1053159099905531905	14594813	Folha de S.Paulo	folha
18715	1053159154699960321	14594813	Folha de S.Paulo	folha
18716	1053159180440354816	14594813	Folha de S.Paulo	folha
18717	1053159304335970304	14594813	Folha de S.Paulo	folha
18718	1053159313034956800	9317502	Estadão	Estadao
18719	1053159313034956800	78140369	Cultura Estadão	EstadaoCultura
18720	1053159370182348800	8802752	G1	g1
18721	1053159378638065664	14594813	Folha de S.Paulo	folha
18722	1053159441984638976	14594813	Folha de S.Paulo	folha
18723	1053159528106262530	14594813	Folha de S.Paulo	folha
18724	1053159539896410112	14594813	Folha de S.Paulo	folha
18725	1053159559416700928	14594813	Folha de S.Paulo	folha
18726	1053159612248195072	14594813	Folha de S.Paulo	folha
18727	1053159619630120960	14594813	Folha de S.Paulo	folha
18728	1053159633223909376	14594813	Folha de S.Paulo	folha
18729	1053159682230181889	14594813	Folha de S.Paulo	folha
18730	1053159715298050048	14594813	Folha de S.Paulo	folha
18731	1053159870826995714	14594813	Folha de S.Paulo	folha
18732	1053159880285151232	14594813	Folha de S.Paulo	folha
18733	1053159901093154816	14594813	Folha de S.Paulo	folha
18734	1053159953052192768	9317502	Estadão	Estadao
18735	1053159953052192768	78140369	Cultura Estadão	EstadaoCultura
18736	1053159953052192768	2760755645	Alexandre Oak	alxdroak
18737	1053159953052192768	939160335801618432	Caio Fabio	CaioFabioMG
18738	1053159953052192768	49082385	Wilkerson Araujo	wilkersonwca
18739	1053159961495289856	9317502	Estadão	Estadao
18740	1053159961495289856	76369002	Política Estadão	EstadaoPolitica
18741	1053159969313488896	14594813	Folha de S.Paulo	folha
18742	1053159976456413184	14594813	Folha de S.Paulo	folha
18743	1053160055535742976	14594813	Folha de S.Paulo	folha
18744	1053160109734592512	14594813	Folha de S.Paulo	folha
18745	1053160129703669761	14594813	Folha de S.Paulo	folha
